Year,Ice_on,Ice_out
1988,12/9/1988,5/4/1989
1989,12/3/1989,4/26/1990
1990,12/18/1990,4/26/1991
1991,11/26/1991,4/21/1992
1992,12/7/1992,4/24/1993
1993,12/11/1993,4/22/1994
1994,12/12/1994,5/3/1995
1995,11/29/1995,5/18/1996
1996,11/27/1996,4/28/1997
1997,12/24/1997,4/12/1998
1998,12/25/1998,4/24/1999
1999,12/22/1999,4/18/2000
2000,12/11/2000,4/29/2001
2001,1/2/2002,4/24/2002
2002,12/4/2002,4/24/2003
2003,12/10/2003,4/24/2004
2004,12/19/2004,4/16/2005
2005,12/18/2005,4/13/2006
2006,12/23/2006,4/27/2007
2007,12/5/2007,5/12/2008
2008,12/9/2008,4/30/2009
2009,12/14/2009,4/5/2010
2010,12/13/2010,5/2/2011
2011,12/16/2011,3/29/2012
2012,12/10/2012,5/16/2013
2013,12/7/2013,5/7/2014
2014,12/1/2014,4/16/2015
2015,12/31/2015,4/16/2015
2016,12/17/2016,
